OBJECTID,ORIG_NUM,CAM_NUM,X_COORD,Y_COORD,Latitude,Longitude,LOCATION,CCTV_SCHEME,Done
921,AC81,81,256946,666210,55.867765,-4.2876458,Kelvin Way at Park entrance nr bridge,,
1066,AC81,81,257578,665022,55.857287,-4.2769308,Lancefield Quay at Lancefield Street,City Centre,
894,AC82,82,258333,665210,55.859197,-4.2649777,Argyle St. Opposite Brown St.,City Centre,
831,AC82,82,257105,666278,55.868423,-4.285143,"nr playground, pond , Kelvingrove Park",,
893,AC83,83,257969,665363,55.860464,-4.2708683,Argyle St. At Motorway,City Centre,
892,AC84,84,257887,665246,55.859389,-4.272116,Warroch St. At Pedestrian Overpass,City Centre,
890,AC85,85,257742,665329,55.860092,-4.2744741,Hydepark St. (North End),City Centre,
891,AC86,86,257889,664943,55.856669,-4.2719252,Anderston Quay Opposite Entrance To Warroch St.,City Centre,
1011,AC94,94,258090,665995,55.866173,-4.2692677,Sauchiehall Street at 'Garage',,
850,AD01,1,251959,669895,55.89934,-4.3692807,Top Of Kelso Street At Towing Path,Dumbarton Road Corrido,
851,AD02,2,251588,668456,55.886307,-4.3744191,Junction Of Lady Anne Street / Dumbarton Road,Dumbarton Road Corrido,
852,AD03,3,252474,668354,55.885664,-4.3602115,Junction Of Anniesland Road / Erika Avenue,Dumbarton Road Corrido,
1141,AD04,4,252121,668121,55.883464,-4.3657225,Plean Street Multi,Dumbarton Road Corrido,
1142,AD05,5,252979,667626,55.879283,-4.3517498,Balmoral Street,Dumbarton Road Corrido,
1143,AD06,6,254182,666881,55.872961,-4.3321363,Dumbarton Road at Smith Street,Dumbarton Road Corrido,
1218,AD07,7,252583,668916,55.890743,-4.3587767,Alderman Road Shops Front,Dumbarton Road Corrido,
1219,AD08,8,252588,668893,55.890538,-4.3586842,Alderman Road Shops Rear,Dumbarton Road Corrido,
1247,AD09,9,255153,666589,55.870632,-4.3164753,Dumbarton road at Meadow Road,,
1248,AD10,10,255240,666368,55.868674,-4.3149681,Castlebank Street,,
1249,AD11,11,255111,666303,55.868052,-4.3169929,Meadowside Quay,,
916,AD75,75,253801,667307,55.87667,-4.33845,Fossil House (SW corner) Victoria Park,,
915,AD76,76,253835,667318,55.876779,-4.337913,"Nr NE Corner Fossil House, Victoria Park",,
917,AD77,77,254080,667205,55.875838,-4.3339396,"Nr War Memorial, Victoria Park",,
918,AD78,78,254290,667049,55.874502,-4.3305022,"Nr Large Pond & Expressway, Victoria Park",,
816,CA01,1,252930,671280,55.912071,-4.3545193,Rozelle Ave. at Jedworth Ave.,Drumchapel/Maryhill,
817,CA02,2,252988,671392,55.913094,-4.3536532,Jedworth Ave. at Jedworth Rd.,Drumchapel/Maryhill,
1172,CA03,3,252172,671182,55.910959,-4.3665812,Linkwood Multi No 39,Drumchapel/Maryhill,
819,CA04,4,252312,671952,55.917914,-4.3647646,Peel Glen Rd. at Ladyloan Avenue,Drumchapel/Maryhill,
820,CA05,5,251844,671215,55.911154,-4.3718417,Kinfauns Dr. at Hecla Ave.,Drumchapel/Maryhill,
823,CA06,6,251864,671106,55.910182,-4.3714623,Kinfauns Drive at Dunkenny Square,Drumchapel/Maryhill,
822,CA07,7,251740,671079,55.909901,-4.3734293,Dunkenny Sq. (Drumchapel Shopping Centre),Drumchapel/Maryhill,
821,CA08,8,251703,671177,55.91077,-4.3740745,Hecla Avenue at Hecla Place,Drumchapel/Maryhill,
1162,CA09,9,251134,671839,55.916537,-4.3835334,Water Tower at Kells Place,Drumchapel/Maryhill,
1163,CA10,10,251396,671773,55.916025,-4.379309,Achamore Road at Lochgoin Avenue,Drumchapel/Maryhill,
818,CA106,106,252228,671744,55.916021,-4.3659936,Peel Glen Rd. at Kinfauns Dr.,Drumchapel/Maryhill,
1042,CA107,107,252338,670676,55.906467,-4.3636515,Junction of Drumchapel Road and Garscadden Road,,
1164,CA11,11,251034,671045,55.909378,-4.3846942,Abbotshall Avenue at Drumry Road East,Drumchapel/Maryhill,
1030,CA116,116,257420,669687,55.899121,-4.2819094,Tresta Road at St Kentigerns Cemetery,,
913,CA117,117,257101,669062,55.893416,-4.2866765,Stockfield Junction at Lochburn Pass,,
1165,CA12,12,251595,670941,55.908618,-4.375671,Drumry Road East at Dunkenny Road,Drumchapel/Maryhill,
914,CA128,128,254936,669399,55.895794,-4.3214461,Bearsden Rd at bridge nr Temple Road,,
1227,CA13,13,250917,670971,55.908677,-4.3865232,Drumry Road East at Great Western Road,,
1171,CA14,14,252029,671222,55.911274,-4.3688887,Linkwood Mutli No 15,Drumchapel/Maryhill,
1174,CA16,16,252603,670913,55.908676,-4.3595458,Glenkirk Drive at Belsyde Avenue,Drumchapel/Maryhill,
1173,CA17,17,252538,671188,55.911125,-4.3607347,Linkwood Drive at Southdean Road,Drumchapel/Maryhill,
1241,CA19,19,252794,671782,55.916536,-4.3569667,Summerhill Road,,
848,CA21,21,256592,669510,55.897286,-4.2950462,Junction Of Kilmun Street/Shiskine Drive,Drumchapel/Maryhill,
1031,CA31,31,256510,668995,55.892638,-4.2960832,Lock 21 Maryhill Road,,
748,CA36,36,256972,668645,55.889634,-4.288517,Outside Maryhill Police Station On Maryhill Roa,Drumchapel/Maryhill,
749,CA37,37,257195,668315,55.886737,-4.2847804,Junction Of Maryhill Road And Shakespeare Stree,Drumchapel/Maryhill,
751,CA39,39,258015,666986,55.875048,-4.2709846,Junction Of Maryhill Road And North Woodside Ro,Drumchapel/Maryhill,
1033,CA40,40,256600,668720,55.890196,-4.2944995,Gairbraid Avenue at Guthrie Street,,
